s_m110_gxyz 	 0.182 	 0.664 	 0.482 
s_m110_gyu 	 0.256 	 0.768 	 0.512 
s_m110_ha 	 0.877 	 1.169 	 0.292 
s_m110_han 	 0.288 	 0.595 	 0.306 
s_m110_har 	 0.170 	 0.568 	 0.398 
s_m110_hat 	 0.467 	 0.701 	 0.234 
s_m110_hc 	 0.694 	 1.020 	 0.326 
s_m110_hcl 	 0.510 	 0.860 	 0.350 
s_m110_he 	 0.855 	 1.163 	 0.308 
s_m110_her 	 0.559 	 0.878 	 0.319 
s_m110_het 	 0.491 	 0.683 	 0.193 
s_m110_hev 	 0.296 	 0.638 	 0.342 
s_m110_hi 	 0.562 	 0.914 	 0.352 
s_m110_hid 	 0.287 	 0.676 	 0.389 
s_m110_hir 	 0.456 	 0.726 	 0.270 
s_m110_hit 	 0.324 	 0.528 	 0.204 
s_m110_ho 	 0.660 	 1.025 	 0.366 
s_m110_hol 	 0.414 	 0.695 	 0.281 
s_m110_hom 	 0.398 	 0.646 	 0.248 
s_m110_hop 	 0.624 	 0.806 	 0.182 
s_m110_hu 	 0.316 	 0.647 	 0.331 
s_m110_huz 	 0.293 	 0.641 	 0.348 
s_m110_hxa 	 0.292 	 0.507 	 0.216 
s_m110_hxaf 	 0.282 	 0.437 	 0.155 
s_m110_hxan 	 0.467 	 0.627 	 0.159 
s_m110_hxaxg 	 0.463 	 0.670 	 0.207 
s_m110_hxaxs 	 0.483 	 0.636 	 0.153 
s_m110_hxaz 	 0.363 	 0.645 	 0.282 
s_m110_hxe 	 0.584 	 0.821 	 0.237 
s_m110_hxed 	 0.463 	 0.660 	 0.197 
s_m110_hxek 	 0.756 	 0.917 	 0.161 
s_m110_hxel 	 0.539 	 0.799 	 0.261 
s_m110_hxi 	 0.257 	 0.531 	 0.275 
s_m110_hxil 	 0.583 	 0.939 	 0.356 
s_m110_hxim 	 0.308 	 0.494 	 0.186 
s_m110_hxit 	 0.491 	 0.640 	 0.150 
s_m110_hxiz 	 0.470 	 0.846 	 0.376 
s_m110_hxo 	 0.322 	 0.690 	 0.367 
s_m110_hxq 	 0.459 	 0.837 	 0.378 
s_m110_hxqd 	 0.525 	 0.861 	 0.336 
s_m110_hxqf 	 0.853 	 1.132 	 0.279 
s_m110_hxqm 	 0.338 	 0.620 	 0.282 
s_m110_hxqn 	 0.297 	 0.565 	 0.268 
s_m110_hxqp 	 0.679 	 0.838 	 0.160 
s_m110_hxqt 	 0.743 	 0.963 	 0.220 
s_m110_hxqv 	 0.822 	 1.170 	 0.348 
s_m110_hxqxg 	 0.663 	 0.963 	 0.300 
s_m110_hxqz 	 0.495 	 0.848 	 0.353 
s_m110_hxr 	 0.669 	 1.037 	 0.368 
s_m110_hxrd 	 0.300 	 0.584 	 0.284 
s_m110_hxrt 	 0.698 	 0.890 	 0.192 
s_m110_hxrz 	 0.253 	 0.568 	 0.315 
s_m110_hxu 	 0.455 	 0.700 	 0.245 
s_m110_hxud 	 0.836 	 1.027 	 0.192 
s_m110_hxuk 	 0.556 	 0.680 	 0.125 
s_m110_hxw 	 0.654 	 0.957 	 0.303 
s_m110_hxws 	 0.312 	 0.592 	 0.280 
s_m110_hxwz 	 0.415 	 0.744 	 0.329 
s_m110_hxy 	 0.281 	 0.725 	 0.443 
s_m110_hxyd 	 0.334 	 0.664 	 0.330 
s_m110_hxyn 	 0.443 	 0.784 	 0.342 
s_m110_hyu 	 0.436 	 0.802 	 0.366 
s_m110_ib 	 1.134 	 1.444 	 0.310 
s_m110_id 	 0.336 	 0.623 	 0.288 
s_m110_idz 	 0.432 	 0.777 	 0.345 
s_m110_if 	 0.315 	 0.576 	 0.261 
s_m110_ig 	 0.437 	 0.800 	 0.364 
s_m110_igz 	 0.090 	 0.443 	 0.352 
s_m110_ik 	 0.307 	 0.534 	 0.228 
s_m110_iks 	 0.319 	 0.546 	 0.228 
s_m110_il 	 0.621 	 0.999 	 0.378 
s_m110_ild 	 0.368 	 0.716 	 0.348 
s_m110_ilz 	 0.659 	 1.134 	 0.475 
s_m110_im 	 0.263 	 0.536 	 0.273 
s_m110_imd 	 0.510 	 0.755 	 0.245 
s_m110_imz 	 0.743 	 1.061 	 0.319 
s_m110_in 	 0.400 	 0.700 	 0.301 
s_m110_inz 	 0.380 	 0.726 	 0.346 
s_m110_ip 	 0.436 	 0.676 	 0.240 
